,Browser,Country,Date Submitted,Device,How did you hear about us?,OS,Source URL,User,Medium,OSGroup
356,Chrome 68.0.3440,Indonesia,2018-08-25 03:27:56,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
357,Chrome 68.0.3440,Indonesia,2018-08-26 01:15:51,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
358,Chrome 68.0.3440,Indonesia,2018-08-27 01:10:32,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
359,Maxthon 5.1.3,Indonesia,2018-08-27 06:18:46,desktop,Email,Windows 7,https://algorit.ma/,00000000,Email,Windows
360,Chrome 68.0.3440,Indonesia,2018-08-27 07:08:08,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
361,Chrome 65.0.3325,Indonesia,2018-08-27 11:12:06,desktop,Email,Windows 10,https://algorit.ma/,00000000,Email,Windows
362,Chrome 68.0.3440,Indonesia,2018-08-28 13:08:46,desktop,Social Media / Online Ads,Mac OS X 10.13.6,https://algorit.ma/,00000000,Social Media / Online Ads,Mac
363,Firefox 61.0,Indonesia,2018-08-29 03:25:26,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
364,Chrome 68.0.3440,Indonesia,2018-08-29 06:58:16,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
365,Chrome 68.0.3440,Indonesia,2018-08-29 19:51:42,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
366,Edge 17.17134,Indonesia,2018-08-30 03:49:42,desktop,Friends / Family - lala,Windows 10,https://algorit.ma/,00000000,Friends / Family ,Windows
367,Chrome Mobile 56.0.2924,Indonesia,2018-08-31 02:10:35,phone,Social Media / Online Ads,Android 7.0,https://algorit.ma/,00000000,Social Media / Online Ads,Android
368,Chrome 68.0.3440,Indonesia,2018-08-31 03:05:23,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
369,Chrome 68.0.3440,Indonesia,2018-08-31 03:06:12,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
370,Chrome 68.0.3440,Indonesia,2018-09-01 14:36:35,desktop,Others - finhacks,Windows 10,https://algorit.ma/,00000000,Others ,Windows
371,Chrome 68.0.3440,Indonesia,2018-09-03 06:19:54,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
372,Chrome 68.0.3440,Indonesia,2018-09-03 08:52:34,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
373,Chrome 68.0.3440,Indonesia,2018-09-04 01:51:19,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
374,Chrome 69.0.3497,Indonesia,2018-09-05 08:12:31,desktop,Search Engine,Windows 8.1,https://algorit.ma/,00000000,Search Engine,Windows
375,Chrome 68.0.3440,Indonesia,2018-09-05 12:02:41,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
376,Opera 55.0.2994,,2018-09-06 06:03:52,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
377,Chrome 68.0.3440,Indonesia,2018-09-06 10:43:55,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
378,Chrome Mobile 68.0.3440,Singapore,2018-09-06 12:56:09,phone,Search Engine,Android 5.1,https://algorit.ma/,00000000,Search Engine,Android
379,Chrome Mobile 67.0.3396,Indonesia,2018-09-06 16:01:03,phone,Others - gojek,Android 6.0,https://algorit.ma/,00000000,Others ,Android
380,Chrome 68.0.3440,Indonesia,2018-09-07 03:35:08,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
381,Chrome 68.0.3440,Indonesia,2018-09-07 08:17:32,desktop,Media Publishing,Windows 8.1,https://algorit.ma/,00000000,Media Publishing,Windows
382,Chrome 68.0.3440,Indonesia,2018-09-07 13:59:14,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
383,Firefox 62.0,Indonesia,2018-09-07 23:55:23,desktop,Social Media / Online Ads,Windows 8.1,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
384,Firefox 62.0,Indonesia,2018-09-08 07:19:49,desktop,Media Publishing,Ubuntu,https://algorit.ma/,00000000,Media Publishing,Linux
385,Firefox 61.0,Indonesia,2018-09-08 08:08:50,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
386,Safari 11.1.2,Indonesia,2018-09-09 09:36:43,desktop,Media Publishing,Mac OS X 10.13.6,https://algorit.ma/,00000000,Media Publishing,Mac
387,Firefox 61.0,Indonesia,2018-09-09 14:46:31,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
388,Chrome 63.0.3239,Indonesia,2018-09-10 07:49:32,desktop,"Others - telegram
",Linux,https://algorit.ma/,00000000,Others ,Linux
389,Chrome 68.0.3440,Indonesia,2018-09-11 17:33:58,desktop,"Others - finhacks, BCA",Windows 7,https://algorit.ma/,00000000,Others ,Windows
390,Chrome 68.0.3440,Indonesia,2018-09-12 01:45:18,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
391,Chrome 68.0.3440,Indonesia,2018-09-13 01:54:50,desktop,Others - i just know,Windows 10,https://algorit.ma/#top,00000000,Others ,Windows
392,Chrome 69.0.3497,Indonesia,2018-09-13 02:41:31,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
393,Safari 11.1.2,Indonesia,2018-09-13 03:35:52,desktop,Social Media / Online Ads,Mac OS X 10.13.6,https://algorit.ma/,00000000,Social Media / Online Ads,Mac
394,Opera 55.0.2994,Indonesia,2018-09-13 04:49:22,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
395,Firefox 62.0,Indonesia,2018-09-13 06:17:32,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
396,Safari 11.1,Indonesia,2018-09-14 05:38:55,desktop,Media Publishing,Mac OS X 10.13.4,https://algorit.ma/,00000000,Media Publishing,Mac
397,UC Browser 12.9.2,Indonesia,2018-09-14 10:56:06,phone,Social Media / Online Ads,Android 6.0.1,https://algorit.ma/,00000000,Social Media / Online Ads,Android
398,Chrome 69.0.3497,Indonesia,2018-09-14 15:13:44,desktop,Media Publishing,Linux,https://algorit.ma/,00000000,Media Publishing,Linux
399,Chrome 68.0.3440,Indonesia,2018-09-15 03:11:16,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
400,Chrome 69.0.3497,Indonesia,2018-09-15 03:33:13,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
401,Chrome 68.0.3440,Indonesia,2018-09-17 01:34:53,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
402,Chrome 68.0.3440,Indonesia,2018-09-17 04:20:53,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
403,Chrome 68.0.3440,Indonesia,2018-09-17 07:32:55,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
404,Chrome 68.0.3440,Indonesia,2018-09-17 10:23:34,desktop,Social Media / Online Ads,Mac OS X 10.11.6,https://algorit.ma/,00000000,Social Media / Online Ads,Mac
405,Chrome 68.0.3440,Indonesia,2018-09-18 04:30:33,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
406,Chrome 69.0.3497,Indonesia,2018-09-18 07:29:15,desktop,Social Media / Online Ads,Windows 8.1,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
407,Chrome 69.0.3497,Indonesia,2018-09-18 10:44:30,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
408,Firefox 62.0,Indonesia,2018-09-20 04:53:29,desktop,Others - campus,Windows 10,https://algorit.ma/,00000000,Others ,Windows
